"tipo_Plan","entidad_promotora","conjunto","modalidad_captura","especies_objetivo","zona_Trabajo","dias_maximos","epoca_Trabajo","puntos_control","zonas_trabajo_detallada","ide_plan_explotación",
"BESP","C.P. Pontevedra, C.P. Lourizán, C.P. Raxó, C.P. Sanxenxo, C.P. Marín, (plan conxunto)","T","Embarcación;","CTG, CTS, CLJ, VNR, COC, VNA, ULO, VEV, OYF, DSX,","Parte interna da liña imaxinaria que une punta Santa Mariña, na beira norte da ría de Pontevedra, coa esquina noroeste do convento sito en punta Praceres, na zona sur da ría, desde punto ata o faro verde do dique da canalización do río Lérez,","153","Xaneiro, de marzo a setembro, novembro, decembro, con rotación de bancos e unha veda de dous meses descontinua,","Embarcación na zona de produción, lonxa de Campelo,","-Río Lérez: (GAL 10/07): Río Lérez (do peirao de Lourido ao fondo do río) (PO-019-I),; (GAL 10/08-2): Río Lérez (da ponte da Barca ao peirao de Lourido) (PO-019-II),; (GAL 10/07) Río Lérez (B Os Cantís) (PO-019),; (GAL 10/07): Os Cantís (PO-013-I), (PO-013-II),; -A Brensa: (GAL 10/06): A Brensa (PO-198),; -Aguillóns: (GAL 10/07): Aguillóns (PO-010),; -Raxó (Desde pta. Aguillóns a punta Santa Mariña): (GAL 10/06): Raxó Lourizán (PO-001),; (GAL 10/07): Praceres-Lourizán: parte interna da liña imaxinaria que une pta. Santamariña, na beira norte da ría Pontevedra coa esquina noroeste do convento sito pta. Praceres na beira sur da ría, e dende este punto ata o faro verde da escolleira de canalización do río Lérez, e de aquí ao peirao de Tenlo, na illa de Tambo (PO-023),; -Illa de Tambo norte (De pta. Corbeiro a peirao de Tenlo): (GAL 10/07): Tambo norte-1 (PO-194),; (GAL 10/06): Tambo norte-1 (PO-195),; -Illa de Tambo sur (De pta. Corbeiro a peirao de Tenlo): (GAL 10/07): Tambo sur-1 (PO-196),; (GAL 10/06): Tambo sur-2 (PO-197),;","2017088"
"BESP","C.P. Redondela","F","A pé;","CTS, CTG, CLJ, VNA, COC, PEE, DSX, RAE,","Bancos intermareais desde a Caseta do Ceboleiro ata a praia de Arealonga (incluída),","160","De xaneiro a decembro","Sobreiro, O Regato, Punta do Cabo, praia de Cesantes, lonxa de Cesantes, A Portela, Portocedeira, Rande, Arealonga,"," -BANCOS PRINCIPAIS: (GAL 11/05): Portocedeira (VI-131),; A Portela: ( A Portela I (da IME cara ao mar) (VI-132), A Portela II (da IME cara a terra) (VI-133), A Rebouza (VI-453),); A Barra (VI-134),: (A Telleira, Peirao (ou varadoiro) (VI-134-I), Das pedras Redondas caro o mar e cara as escolleras (VI-134-II), Das pedras debaixo da de Culo cara o mar e cara as escolleras (VI-134-II), Entrerríos (VI-134-III),); Cesantes: (dende a lonxa ata a rampla de Loureiro (metade do banco) (VI-166), dende a rampla de Loureiro ata o antigo porto deportivo (que separaba este banco do de A Punta do Cabo) (VI-135),); A Punta do Cabo ( antigo porto deportivo - caseta de A Virxe) (VI-136),; O Regato (VI-163),; -BANCOS SECUNDARIOS (GAL 11/05): Rande (sur) (VI-165), Illa de San Simón (VI-173), Soutoxusto (VI-137), Sobreiro (VI-164), Cobreiro (VI-185),; -(GAL 11/04): Arealonga (VI-161), Cabanas (VI-162),;","2017089"
"BESP","C.P. Vigo","F","A pé;","CTG, CTS, CLJ, VNA, COC, ULO, LPZ, PEE,","Bancos intermareais entre o puntal da Serra e praia de Arealonga (excluída)","CTG, CTS, CLJ, VNA, ULO, COC,=130; LPZ, PEE,=40;","Moluscos: xaneiro a decembro, cunha veda de dous meses consecutivos entre marzo e xuño con rotación de bancos,; Gasteropodos: xaneiro a decembro, veda para caramuxo de marzo a xuño, para lapa nos meses de outubro e novembro,;","Toralla, A Guía, lonxa de Vigo, lonxa de Canido,"," -Moluscos bivalvos (GAL 11/04): Areiña (VI-139), Serral (VI-064), Canido (VI-178), Toralla (VI-065), Bouzas (VI-066), Etea (VI-183), Vulcano (VI-184), Sobreira (VI-028), O Mende (VI-141),; -Moluscos gasterópodos: illa de Toralla (VI-554), cabo Estai-1 (VI-555-I), cabo Estai-2 (VI-555-II);","2017090"
"BESP","C.P. Vilaboa","F","A pé;","CTS, CTG, CLJ, COC, RAE,","Bancos intermareais desde punta Travesada ata Punta Cabalo,","145","De xaneiro a decembro,","Punta Cabalo, lonxa de Santa Cristina, Santo Adrián, punta de Santo Adrán, punta de Travesada,"," Calera (dende punta Travesada ata punta Santo Adrán) (VI-144),; San Adrián (Dende punta Santo Adrián ata o río de Río Maior): Santo Adrián (VI-200), punta Santo Adrián (VI-201),; Rio Maior (dende o río de Río Maior ata o peirao de Santa Cristina): Río Maior (VI-238), parques (zonas acotadas adicadas ao semicultivo e explotación),; Deilán (dende o peirao de Santa Cristina ata punta Pereiró): Deilán (VI-140), Pedra da Oliveira (VI-561),; Cabalo (dende punta Pereiró ata punta Cabalo): Cabalo a pé (VI-150),; Figura de protección LIC- Enseada de San Simón","2017091"
"BESP","C.P. Vilanova","F","Embarcación;","CTG, CTS, CLJ, VNA, VNR, COC, VEV, DSX,","Dique do Terrón, boia columna eléctrica, columna ponte, boia Lañeiras de Fóra, espicho rego do Alcalde, (zona de produción: praia Nova, As Carballas, As Negrenlas,)","130","Xaneiro, De abril a setembro, decembro,","Embarcación de vixilancia no Lombo das Carballas, ou pantalán do peirao, lonxa de Vilanova,","As Carballas (AR-001), As Negrenlas (AR-008), Praia Nova (AR-289),","2017092"
"BESP","C.P. Vilaxoán","F","Embarcación;","CTG, CTS, CLJ, VNA, COC, DSX,","Zona sublitoral entre a liña que une o regato Aduana ao illote Gorma e punta Borreiros,; de punta Borreiros ao peirao de Vilaxoán, de punta Castelete á punta Ferrazo,","160","De xaneiro a decembro,","Embarcación na zona de produción, escaleiras fronte á fachada principal da lonxa de Vilaxoán,","Corón (AR-029), Borreiros (AR-028), Rial (AR-030), Saíñas (AR-031), Preguntoiro (AR-032), Canelas (AR-033), Castelete (AR-034),","2017093"
"DPER","A.M. San Cosme de Barreiros-Foz","F","A pé;","PCB,","De punta Promontorio a punta Nois,","30","Marzo, abril, de xuño a outubro, decembro,","Saída de punta Promontorio, praia de Rapadoira,","*","2017094"
"DPER","C.P. Burela","F","Embarcación;","PCB,","Ámbito territorial da confraría de Burela: de punta Rueta a punta Nois,","40","De maio a agosto,","Aparcamento de cabo Burela, aparcamento da praia de Ril, aparcamento da praia de Marosa, punta do Castro,","punta Rueta (CL-131), punta Nois (CL-135),","2017095"
"DPER","C.P. Celeiro","F","A pé; Embarcación;","PCB,","Da ermida de San Tirso a punta Cabalo, incluíndo os illotes Os Netos, illa Gabeira,","70","Abril, de xuño a setembro, decembro,","Lonxa de Celeiro, peirao de Portocelo,"," De Ermita de San Tirso a Praia Reboeira (CL-127), De Praia Reboeira a Praia de Esteiro e Os Netos (CL-128), De Praia de Esteiro a Punta do Cabalo e Illa Gabeira (CL-129),","2017096"
"DPER","C.P. O Vicedo","F","Embarcación;","PCB,","Desde a marxe esquerda do río Escourido á marxe dereita do río Sor, illa Coelleira,","80","De abril a setembro, decembro,","Lonxa do Vicedo,","Dende a marxe esquerda do río Escourido á marxe dereita do río Sor (CL-124), (CL-125),: (Zona 1 (Punta Embarcadoiro a punta Congreira), Zona 2 (Extremo norte praia da Abrela a punta Embarcadoiro), Zona 3 (Illa Coelleira e As Laxes,))","2017097"
"DPER","C.P. Ribadeo","F","A pé;","PCB,","De punta Promontoiro ás Carallas,","80","De marzo a outubro, decembro,","As Pudias, punta Corbeira, área recreativa Areosa-Piñeira,","Zona 1 ( de punta Promontoiro ata punta Corbeira) (CL-137), Zona 2 (de punta Corbeira ata As Carrallas (agás as zonas 3 e 4)) (CL-138), Zona 3 (de punta Placeos ata Barbeitos, Illa Pancha, Can do Faro, Insua, Martiñas, A Tabla, Mourón e Corbeira) (CL-139), Zona 4 (dende o porto de Rinlo ata punta Placeos) (CL-140),","2017098"
"DPER","C.P. San Cibrao","F","A pé; Embarcación;","PCB,","De ermida San Tirso a punta Rueta, (incluíndo as Illa de Cal, Illa Ansarón, illa Farallóns,)","90","De febreiro a abril, de xuño a decembro,","Porto de Morás, porto de Portocelo,","Zona 1 (de Ermita de San Tirso a Cabo Morás), Zona 2 (de Cabo Morá a Punta Rueta), Zona 3 (Illa de Cal), Zona 4 (Illa de Ansarón), Zona 5 (Illas dos Farallóns)","2017099"
"DPER","C.P. A Coruña, C.P. Mera, C.P. Lorbé, C.P. Sada, C.P. Ares, (plan conxunto)","T","A pé; Embarcación;","PCB,","Ambito territorial das confrarías da Coruña, Mera, Lorbé, Sada, Ares,","144","De xaneiro a decembro,","Casa dos Peixes, dársena de Oza,","Zona A: Suevos (da praia de Sabón ata praia de Bens) (CF-023), Zona B: Portiño (da praia de Bens ata punta Liseiro) (CF-024), Zona C: Torre (de punta Liseiro ata dique de abrigo) (CF-025), Zona D: Mera (da praia de Bastiagueiro ata porto de Sada) (CF-026), Zona E: Ares (do porto de Ares ata punta Segaño) (CF-027),","2017100"
"DPER","C.P. Aguiño","F","A pé; Embarcación;","PCB,","Desde punta Castro ata a desembocadura do río Sieira, illas e illotes adxacentes","201","De xaneiro a decembro,","Zonas de traballo; peirao de Aguiño, faro de Corrubedo, praia da Recabeira, lonxa de Aguiño e Couso,","-Zona norte (de punta Falcoeiro ata río Sieira): zona 2 (de punta Falcoeiro a punta Corrubedo), zona 3 (de punta Corrubedo ata río Sieira, incluíndo os baixos das Basoñas),; -Zona sur (Sálvora): (dende O Carreiro a punta Falcoeiro, illas de Sálvora, Sagres, Vionta, Noro, Gaboteira, Herbosa e illotes que a rodean)","2017101"
"DPER","C.P. Caión","F","A pé; Embarcación;","PCB,","De punta Alba a Pedra do Sal,","160","De xaneiro a decembro,","Lonxa de Caión,","A.-Dende Pedra do Sal a Praia Salseiras: Subzona A1 (de Pedra do Sal ata Portiño Leira) (CF-036-I), Subzona A2 (de Portiño de Leira ata Praia Salseiras) (CF-036-II),; B.- (Entre Praia Salseiras e Porto de Zorrizo) Subzona B1 (de praia Salseiras a porto de Caión) (CF-037-I), Subzona B2 (de porto de Caión a porto de Zorrizo) (CF-037-II),; C.-Entre Porto de Zorrizo e Punta Alba (CF-039),;","2017102"
"DPER","C.P. Camariñas","F","Embarcación;","PCB,","De punta Gallada a punta Villueira,","160","De xaneiro a decembro,","Arnela, lonxa de Camariñas,","(CM-096),","2017103"
"DPER","C.P. Camelle","F","Embarcación;","PCB,","De punta Morelo a punta Gallada, incluíndo illas e illotes fronte á costa","146","De xaneiro a decembro,","Porto de Ríos, cemiterio dos ingleses, porto da Lagoa, porto de Camelle, Arnado, canle de Cabanas, praia de Lobeiras,","Zona A (de punta Gallada a sur da praia de Trece) (CM-117), Zona B (de sur da praia de Trece a canle de Cabanas) (CM-118), Zona C (de canle de Cabanas a peirao de Camelle) (CM-119), Zona D (de peirao de Camelle a punta Morelo) (CM-120),","2017104"
"DPER","C.P. Cariño","F","Embarcación;","PCB,","De Pedra Barcelona a desembocadura do río Mera,","132","De xaneiro a decembro,","Local da lonxa de Cariño,","Zona A (de punta do Cabo a desembocadura do río Mera) (CL-068), (CL-069),; Zona B (de punta do Cabo a punta do Limo) (CL-070),; Zona C (de punta do Limo a Pedra Barcelona) (CL-071),; Zona D (Aguillóns de cabo Ortegal) (CL-055), (CL-056), (CL-057), (CL-058), (CL-059),","2017105"
"DPER","C.P. Cedeira","F","Embarcación;","PCB,","Do faro da punta da Frouxeira a Pedra Barcelona,","180","De xaneiro a decembro,","Lonxa de Cedeira,","(CL-187), (CL-189), (CL-190), (CL-191), (CL-192), (CL-193), (CL-194), (CL-195), (CL-196), (CL-197), (CL-198), (CL-199), (CL-200), (CL-201), (CL-202), (CL-203), (CL-204), (CL-205), (CL-206), (CL-207), (CL-208), (CL-209), (CL-210),","2017106"
"DPER","C.P. Corme","F","A pé; Embarcación;","PCB,","Da enseada do río Anllóns á punta Nariga,","160","De xaneiro a decembro,","Zona A: praia da Ermida, praia de Balarés, camiño do Canteiro,; zona B: merendeiro, cruzamento da Atalaia,; zona C: merendeiro, aldea do Roncudo, e mirador do Roncudo,; zona D: aldea do Roncudo, Os Eolos, A Fontenla,; zona E: praia da Barda, Santa Mariña, A Fontenla, punta Nariga,; porto de Corme, praia de Barda, para as embarcacións","Zona A: Canteiro (da Enseada do Anllóns ao porto de Corme) (CM-102),; Zona B: Roncudo (do porto de Corme ao Carreiro da Balea e pedras cercadas) (CM-103),; Zona C: Gabriela (de Carreiro da Balea a Zorrateira e pedras cercadas) (CM-104),; Zona D: Percebellosa (de Zorrateira a Enseada de Grixoa e pedras cercadas) (CM-105),; Zona E: Rosas (de Enseada de Grixoa a Pta. Nariga e pedras cercadas.) (CM-106),;","2017107"
"DPER","C.P. Espasante","F","Embarcación;","PCB,","De illa San Vicente a punta Billardeira,","172","De xaneiro a abril, de xuño a decembro,","Peirao de Espasante, O Tallo, Cadaval, Furnas,","(CL-044), (Zonas de Ladrido, Espasante, Céltigos, Loiba e Picón);","2017108"
"DPER","C.P. Ferrol","F","A pé; Embarcación;","PCB,","De faro de punta Frouxeira a A Faísca,","175","De xaneiro a decembro,","Lonxa de Ferrol, punta Penencia, Lobadiz, A Cova, praia dos Botes,","(CF-115), (CF-116), (CF-117), (CF-119), (CF-120), (CF-121), (CF-123), (CF-312), (CF-313), (CF-314),","2017109"
"DPER","C.P. Fisterra","F","A pé; Embarcación;","PCB,","Da praia de Nemiña a cabo Fisterra, illas Lobeiras, Carrumeiros,","A pé: 160,; Emb.: 180,;","De xaneiro a decembro,","A pé: Zona A (cabo Fisterra,); Zona B (alto da Nave,); Zona C (praia da Arnela,); Embarcación: embarcación de vixilancia, pantalán do peirao de Fisterra,","Zona A (de Cabo Fisterra a Praia de Mar de Fóra, Centolo e illotes adxacentes) (CM-084),; Zona B (De Praia de Mar de Fóra a Punta Longa) (CM-085),; Zona C (De Punta Longa a Praia de Nemiña) (CM-086),; Zona D (Illas Lobeiras e Carromeiros) (CM-087), (CM-088), (CM-089), (CM-090), (CM-091),;","2017110"
"DPER","C.P. Laxe","F","A pé; Embarcación;","PCB,","De punta Morelo a punta Padrón,","90","De xaneiro a outubro, decembro,","Zona de extracción, lonxa de Laxe,","Zona A (dende praia de Laxe a punta Padrón e pedras cercadas) (CM-108), Zona B (dende praia de Laxe a punta Morelo e pedras cercadas) (CM-109),","2017111"
"DPER","C.P. Lira","F","A pé;","PCB,","De punta Insua a desembocadura do río Larada,","40","De xaneiro a decembro,","Lonxa de Lira,","Zona B (de Maceiras (Sur da praia de Carnota) á esquina do campo de fútbol) (CM-022), Zona C (da esquina do campo de fútbol a O Curro) (CM-023), Zona D (de O Curro ata punta Raposeiros (Lombo da Campa)) (CM-024), Dende Raposeiros ata punta Insua (CM-025),;","2017112"
"DPER","C.P. Lira","F","Embarcación;","PCB,","De punta Insua a desembocadura do río Larada,","82","De xaneiro a decembro,","Lonxa de Lira,","Zona E: (Miñarzos (CM-007), Seixo (CM-009), Liboreiro (CM-008), Petón de Cabalar (CM-010), Pedra de Ardeleiro (CM-013), punta de Prouso Rubio (CM-250), Laxiñas da Illa (CM-251), As Roncadoras (CM-252), Seixiño da Cruz (CM-253),; Zona F: Coca (CM-254), Corveiro (CM-018), Corniños (CM-014), Pedra Pas (CM-015), Laxa Mar de Lira (CM-016), A Marsiosa (CM-019), Mexilloeira (CM-017), Illa dos Carreiros (CM-020), As Laxiñas (CM-021),; Zona G: Forcados (CM-004), Petóns dos Forcados (CM-005), Illa de Anguieiro (CM-006),; A Insua (CM-011), Ucha da Arca (CM-012),;","2017113"
"DPER","C.P. Malpica","F","A pé; Embarcación;","PCB,","De punta Nariga a Pedra do Sal, incluíndo Illas Sisargas, baixos de Baldaio, e demais illas e illotes fronte á costa en tres millas,","165","de xaneiro a abril, de xuño a decembro,","Embarcación de vixilancia, lonxa de Malpica,"," -Zona 1: (de punta Nariga á praia do porto de Barizo e pedras cercadas fronte á costa) (CM-245),; -Zona 2: (de praia do porto de Barizo ata a Atalaia e pedras cercadas fronte a costa) (CM-246), (do dique de abrigo do porto de Malpica a Pedra do Sal a pedras cercadas fronte a costa) (CM-247),; -Zona 3.- Illas Sisargas (CM-248),;","2017114"
"DPER","C.P. Muros","F","A pé;","PCB,","De punta Insua a punta Uhía,","80","De xaneiro a decembro","Peirao de Muros,","Punta Ínsua (MN-008), Punta Lens (MN-009), Montelouro (MN-010), Cabanas (MN-011),","2017115"
"DPER","C.P. Muxía","F","A pé; Embarcación;","PCB,","De punta Piaduiro (marxe esquerda da desembocadura do río Grande) a punta Nemiña, (marxe dereita da desembocadura do río Castro (incluíndo illas e illotes))","155","De xaneiro a decembro","A pé: Zona A (saída da pista de Moreira,) Zona B (campo de Carlos,) Zona C (A Barca,); Embarcacións: rampla do peirao de Muxía;"," -Zona A: de praia de Nemiña a Punta Matemao (CM-026),; -Zona B: de punta Matemao á praia de Arnela(CM´-027), de praia de Arnela ata a praia de Lourido (CM-028),; -Zona C (A Barca) de praia de Lourido a puna Piaduiro: Subzona C1: de praia de Lourido ata O Carreiro (CM-029),; Subzona C2: Chorente-1/Chorente-2 (CM-030), Merexo-1/Merexo-2 (CM-031),;","2017116"
"DPER","C.P. O Barqueiro-Bares","F","Embarcación;","PCB,","De punta Villardeira a punta da Barra,","144","De marzo a decembro,","Peiraos do Barqueiro e de Bares, o Ventoeiro,","Bares (CL-001), As Maedas (CL-002), As Atravesadas (CL-003), Porca Brava (CL-004), Campo Torto (CL-005), Xuxanido (CL-006), punta da Estaca (CL-007), Os Muíños (CL-008), baixos dos Muíños (CL-009), Marufa (Baixos da Marufa) (CL-010), Cabo de Bares (CL-011),;","2017117"
"DPER","C.P. O Pindo","F","A pé;","PCB,","Da desembocadura do río Xallas á desembocadura do río Larada e pedras adxacentes","40","De xaneiro a decembro,","Portiño de Quilmas, Insuela, punta Caldebarcos,","De punta Quilmas ata punta Caldebarcos (CM-042), incluíndo as pedras da costa (Pituiño (CM-259), Petón dos Turcos (CM-260), Salitres (CM-261), pedra de Meda (CM-262), illote Pescos (CM-263), punta Negros (CM-264), Petón Cajado (CM-265), Lapia (CM-266), Petón Fero (CM-267), pedras mariñas de Caldebarcos (CM-249),);","2017118"
"DPER","C.P. Porto do Son","F","A pé; Embarcación;","PCB,","De río Sieira a punta Cabeiro, illotes Os Bruyos, Leixoes, Pedra do Con,","152","De xaneiro a decembro,","Zonas 1 e 2: furna de Laxe,; Zona 3: punta Castro,; Zona 4: punta Sagrada,; Zonas 5 e 6: peirao pesqueiro de Porto do Son,","Zona 1 (de Río Sieira a Pta. de Alto Lage) (MN-074), Zona 2 (de Pta. de Alto Lage a Porcalleira) (MN-075), Zona 3 (de Porcalleira a Pta. Magrío) (MN-076), Zona 4 (de Pta. Magrío a Pta. Sagrada) (MN-077), Zona 5 (Illa Filgueira) (MN-078), Zona 6 (Illotes Os Bruyos, Leixoes e Pedra do Con) (MN-079),;","2017119"
"DPER","C.P. Ribeira","F","Embarcación;","PCB,","Illas e illotes Laxas, Pías de Castiñeira, Airós, Rúa, Carabancelo, Xidoiro Pedregoso, Corbeiros, Lobeiras,","30","De xaneiro a decembro,","Embarcación de vixilancia da confraría nas zonas de extracción, lonxa de Ribeira,","De punta Aguiúncho-Airó Grande ata punta Castro (illas e illotes Laxas (CF-305), Pías de Castiñeira (CF-304), Airós (CF-306), Rúa (CF-307), Carabancelo (CF-303), Xidoiro Pedregoso (CF-309), Corbeiros (CF-310), Lobeiras (CF-308-I), (CF-308-II),);","2017120"
"DPER","C.P. A Guarda","F","A pé;","PCB,","De punta Orelludas a punta dos Picos,","140","De xaneiro a decembro,","Zona A: Capela de San Sebastián, Horizonte, (en caso de mal tempo), lonxa da Guarda,; Zona B e zona C: Horizonte, lonxa da Guarda,;"," -Zona A (VI-125): A1 (Dende punta Orelludas ata Forxas) (VI-122), A2 (Dende A Redonda ata Porto Vilar) (VI-123), A3 (Dende as Xilias ata Os Saltiños) (VI-124), A4 (Dende Molla Cú ata Pedra do forno) (VI-203),; -Zona B (VI-126): B1 (Todo excepto Puntal dos trigos, Travesas, Laxe de Ladas) (VI-438), B2 (Puntal dos trigos, Travesas, Laxe de Ladas) (VI-439),; -Zona C (VI 127): C1 (Puntal Sarrido) (VI-204), C2 (Dende as Leiriñas ata os Caldeiros) (VI-205), C3 (Dende os Caldeiros ata punta dos Picos) (VI-206),;","2017121"
"DPER","C.P. A Guarda","F","Embarcación;","PCB,","De punta Orelludas a punta dos Picos,","100","De xaneiro a decembro,","zonas A e B: Peirao de Oia, peirao da Guarda,; zonas A,B,C, D: Peirao do porto da Guarda,"," -Zona A (De Punta Orelludas a Pedra do Forno) (VI-117),; -Zona B (De Pedra do Forno a Punta Pescadoira) (VI-118),; -Zona C (De Puntal Sarrido a contradique porto da Guarda) (VI-119),; -Zona D (De Baloeiro a Punta dos Picos) (VI-120),;","2017122"
"DPER","C.P. Aldán-O Hio","F","A pé;","PCB,","De punta Couso a punta Morcegos, cara ao interior da ría de Aldán,","15","Xaneiro, de xullo a setembro, decembro,","Zona de extracción, lonxa de Aldán,","De punta Couso a punta Pinténs, De punta Morcegos ao peirao de Aldán, Laxe do Aire (PO-165), Punta Couso (PO-164),;","2017123"
"DPER","C.P. Baiona","F","A pé; Embarcación;","PCB,","De punta Orelludas a monte Ferro (punta Lameda), incluíndo as illas Estelas, Farallóns, Lourido,","150","De xaneiro a decembro,","A pé: Zona I (Salgueira,); Zona II (porto do Castro),; Zona III (Pedra Rubia,); Desde embarcación: embarcación da confraría, lonxa de Baiona,","(De Monte Ferro (Pta. Lameda) a Embarcadoiro de Carral, incluíndo as Illas Estelas, Farallóns e Lourido) (VI-110-I), (De Embarcadorio de Carral a Punta Centinela (Sur Pedra dos Homes))  (VI-110-II), (de Punta Centinela (dende Sur Pedra dos Homes) a Orelludas) (VI-110-III),;","2017124"
"DPER","C.P. Bueu","F","Embarcación;","PCB,","De punta Lapamán a punta Morcegos, Illa Ons, Onza;","160","De xaneiro a decembro,","Área 1-N (Xubenco norte): Cova da Vella, arredor do Centolo, (segundo vento/mar); Área 1-S (Xubenco sur): enseada Bastián de Val,; Área 2 (Fedorentos): enseadas de Fedorentos, Cova do Inferno, punta Freitoxa, enseada de Caniveliñas,; Área 3 (Onza): praia sur de Onza, praia norte de Onza, zona oeste de Onza, zona leste de Onza,; Área 4-N (Liñeiros norte): abrigo do Estripeiral, saída do intermareal ou arriba no cruzamento dos camiños,; Área 4-C (Liñeiros centro): ao abrigo do Estripeiral, ao abrigo de Liñeiros, á saída do intermareal ou arriba no cruzamento dos camiños,; Área 4-S (Liñeiros sur): enseada de Caniveliñas, á saída do intermareal ou arriba no cruzamento dos camiños; Área 5 (leste de Ons): peirao de Ons,; Área 6 (Udra): praia de Lagos, Udra/Ancoradoiro, Udra/Mourisca,","-Área 1 Xubenco (de Punta Centolo ata O Altar): Area 1-N Xubenco-Norte (do Illote do Centolo á Cuberta do barco) (PO-179), Area 1-S Xubenco-Sur (de Cuberta do barco ata O Altar) (PO-178),; -Área 2 Fedorentos (do centro da praia de Fedorentos ata o Rego de Fonte Caniveliñas) (PO-168),; -Área 3 Onza (todo o litoral da Illa de Onza): Área 3-E Onza leste (dende a Praia das Moscas ata a Praia da Porta do Sol polo lado leste da illa) (PO-181), Área 3-W Onza oeste (dende a Praia das Moscas ata a Praia da Porta do Sol polo lado oeste da illa) (PO-180),; -Área 4 Liñeiros (dende O Altar ata Fonte Caniveliñas): Área 4-N Liñeiros-Norte (do Altar ao Rego Lapeiras) (PO-182), Área 4-C Liñeiros-Centro (do Rego Lapeiras á praia de Liñeiros) (PO-183), Área 4-S Liñeiros-Sur (da praia de Liñeiros á Fonte de Caniveliñas) (PO-184),; -Área 5 Leste de Ons: (do centro da praia de Fedorentos ata o Illote do Centolo (cara leste das Illas Ons)) (PO-188), (PO-189), (PO-190),; -Área 6 Udra: (dende punta Lapamán ata Punta Morcegos) (PO-1859, (PO-187), (PO-186),;","2017125"
"DPER","C.P. Cangas","F","Embarcación;","PCB,","De punta Couso a punta Canaval, illas Cíes,","160","De xaneiro a decembro,","Zona de traballo, lonxa de Cangas,"," -Area 1. Costa da Vela (dende costal de Barra ata punta Couso) (VI−096): (Subárea 1.1. Illas Osas, Subárea 1.2. de Punta Couso a Punta Paredón do Río, Subárea 1.3. de Punta Paredón do Río ata Pinela de Cú de Lobo, Subárea 1.4. de Pinela de Cú de Lobo ata Cabo Home, Subárea 1.5. de Cabo Home ata río de Barra,); -Area 2. (Dende punta Muxierio, “Monolito”, ata a enseada das Herbas, na costa oeste da illa norte das illas Cíes) (VI−097): (Subárea 2.1. punta Escodelo ata a enseada das Herbas, Subárea 2.2. punta Escódelo ata punta Muxeiro,); -Area 3. (Dende a enseada das Herbas ata ao peirao de Carracido (incluíndo Viños), na illa norte de Cíes, ademais de toda a illa sur das illas Cíes) (VI−098): (Subárea 3.1. Illote Boeiro (VI−099),); -Area 4. (Dende o Ballote do Mar ata o Corbeiro: tramos de rocha na banda norte da ría de Vigo) Figuras de protección: (1)LIC Costa da Vela, (2)LIC Illas Cíes, (3)ZEPA Illas Cíes,;","2017126"
"DPER","C.P. O Grove","F","A pé; Embarcación;","PCB,","De punta Area Grande a punta Faxilda,","80","De xaneiro a decembro, cunha veda do 1 ao 24 de setembro, do 14 de outubro ao 30 de novembro,","Zona de extracción, lonxa do Grove,"," -Zona 1 (De punta Area Grande a punta Aguieira): Con Negro (AR-265), O Carreiro (AR-266), Illa de Pombeiro (AR-267),; -Zona 2 (De punta Aguieira a punta Espiño): Pedras Negras (AR-263), A Batería (AR-264),; -Zona 3 (Punta Faxilda): Punta Faxilda (AR-260), Punta Corbeiro (AR-261), Illa da Capilla da Lanzada (AR-262),;","2017127"
"DPER","C.P. Vigo","F","A pé;","PCB,","De punta Cubilló a punta de Serra,","40","De xaneiro a decembro,","Zona de traballo, lonxa de Canido, lonxa de Vigo,","Illa de Toralla (VI-556), (Dende Punta Marosa ata Area das Canas) (VI-557), (Dende praia da Abra ata Puntal de Serra) (VI-558),;","2017128"
"FEQD","Asociación de recolectores submariños da Mariña","F","MSAS;","URM,","Zonas marítimas desde Punta Pena Furada a As Carrallas, agás: a zona interna entre a punta do dique norte do porto de Alcoa e o faro de San Cibrao, Os Muiñelos, Os Castelos da praia de San Román, a cetarea de San Cibrao, Calvella en Burela, Punta Promontoiro en San Cosme, Celeiros en Ribadeo","60","De xaneiro a abril, Novembro, decembro,","Lonxa do Vicedo, Lonxa de Celeiro, Lonxa de Burela, Lonxa de Ribadeo, nas zonas de traballo,","*","2017129"
"FEQD","C.P. Celeiro","F","A pé;","URM,","Desde a ermida de San Tirso a punta do Cabalo","10","De xaneiro a abril, decembro,","Saídas dos bancos do Rego, Arnela,","(CL-127), (CL-128), (CL-129),","2017130"
"FEQD","C.P. San Cibrao, C.P. Ribadeo, C.P. Burela, A.M. San Cosme de Barreiros-Foz, (plan conxunto)","T","A pé;","URM,","Desde a ermida de San Tirso a As Carallas,","47","De xaneiro a abril,","Ribadeo: As Pudias, Área recreativa Areosa-Piñeira, Punta Corbeira,; Burela: lonxa de Burela,; San Cibrao: Porto de Morás, Porto de Portocelo,; San Cosme: saída dos bancos,;","*","2017131"
